FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,UNSAT,T/O,0.0170538425445556,0.0134141445159912,0.0348191261291503
dog,1,2,SAT,0.1981041431427002,0.0182430744171142,0.017789602279663,0.0096673965454101
elephant,1,2,SAT,0.5576415061950684,0.0041093826293945,0.0052354335784912,0.0190658569335937
enigma,1,2,SAT,T/O,0.0174977779388427,0.003890037536621,0.0086503028869628
house,1,2,UNSAT,T/O,0.0030043125152587,0.0085787773132324,0.0177018642425537
rabbit,1,2,SAT,0.5633199214935303,0.006054401397705,0.0049066543579101,0.006772756576538
squirrel,1,2,UNSAT,T/O,0.0145397186279296,0.0036370754241943,0.0102436542510986
theater,1,2,UNSAT,T/O,0.018568992614746,0.0390036106109619,0.0210494995117187
clown,1,3,UNSAT,T/O,0.0648739337921142,0.0045619010925292,T/O
heart,1,3,SAT,0.006681203842163,0.0167829990386962,0.0084800720214843,0.0076105594635009
home,1,3,SAT,0.008829116821289,0.0063922405242919,0.0069897174835205,0.0088043212890625
nostalgia,1,3,SAT,0.4104340076446533,0.0120899677276611,0.0045936107635498,0.404496431350708
plate,1,3,UNSAT,T/O,0.0924103260040283,0.0185914039611816,T/O
rose,1,3,UNSAT,T/O,0.0218827724456787,0.0180428028106689,T/O
terminate,1,3,UNSAT,T/O,0.0031423568725585,0.0023605823516845,0.0063388347625732
faint,2,2,UNSAT,T/O,I/O (0.8263542652130127),0.0082721710205078,0.3336169719696045
machine,2,2,SAT,T/O,I/O (0.5647544860839844),0.0024797916412353,0.0267696380615234
small,2,2,SAT,0.7204794883728027,0.1108250617980957,0.002939224243164,0.0696947574615478
truck,2,2,SAT,0.2324347496032714,0.0256106853485107,0.0055375099182128,1.8198139667510984
unusual,2,2,UNSAT,T/O,I/O (0.5636000633239746),0.003770112991333,0.5179972648620605
email,2,3,SAT,0.3700563907623291,0.0881249904632568,0.0038228034973144,0.4329404830932617
forget,2,3,UNSAT,T/O,I/O (1.2121682167053225),T/O,T/O
inertia,2,3,UNSAT,T/O,I/O (0.9069390296936036),T/O,T/O
moon,2,3,UNSAT,T/O,0.0740649700164794,0.0052242279052734,0.0692915916442871
oblong,2,3,SAT,0.0146958827972412,0.0292150974273681,0.0019569396972656,0.0079185962677001
touch,2,3,UNSAT,T/O,0.0822455883026123,T/O,0.1942546367645263
waste,2,3,UNSAT,0.0049726963043212,0.0045433044433593,0.0020363330841064,0.0061721801757812
beast,3,2,SAT,0.2855584621429443,0.0890507698059082,0.0043613910675048,1.682817459106445
doctor,3,2,UNSAT,T/O,0.1043543815612793,0.0034050941467285,0.0061414241790771
train,3,2,SAT,T/O,0.3658251762390136,0.0054991245269775,T/O
vampire,3,2,SAT,0.2550466060638428,0.0579659938812255,0.0033533573150634,0.0050673484802246
bar,3,3,?,T/O,I/O (3.1956028938293457),T/O,T/O
motor,3,3,UNSAT,T/O,0.2521984577178955,0.0037453174591064,T/O
professor,3,3,SAT,0.147343635559082,0.173490285873413,0.0055153369903564,0.0812819004058837
robot,3,3,SAT,0.0846967697143554,0.072016954421997,0.0026297569274902,0.0103833675384521
tank,3,3,SAT,0.2893180847167969,0.1757354736328125,0.0027167797088623,1.580111026763916
titanium,3,3,?,T/O,I/O (2.6507036685943604),T/O,T/O
western,3,3,?,T/O,I/O (3.5430047512054443),T/O,T/O
