TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.01781773567199707,[['UNKNOWN (TIMEOUT)']]
2,cat,1var,2deg,0.0037457942962646484,[['UNKNOWN (TIMEOUT)']]
3,dog,1var,2deg,0.001981019973754883,[['UNKNOWN (TIMEOUT)']]
4,house,1var,2deg,0.0041866302490234375,[['UNKNOWN (TIMEOUT)']]
5,elephant,1var,2deg,0.0029811859130859375,[['UNKNOWN (TIMEOUT)']]
6,squirrel,1var,2deg,0.0031604766845703125,[['UNKNOWN (TIMEOUT)']]
7,enigma,1var,2deg,0.002177000045776367,[['UNKNOWN (TIMEOUT)']]
8,rabbit,1var,2deg,0.0019750595092773438,[['UNKNOWN (TIMEOUT)']]
9,plate,1var,3deg,0.001990795135498047,[['UNKNOWN (TIMEOUT)']]
10,clown,1var,3deg,0.001993417739868164,[['UNKNOWN (TIMEOUT)']]
11,nostalgia,1var,3deg,0.002796649932861328,[['UNKNOWN (TIMEOUT)']]
12,heart,1var,3deg,0.0018723011016845703,"[['x', 7]]"
13,home,1var,3deg,0.001676797866821289,"[['x', 1]]"
14,terminate,1var,3deg,0.00041985511779785156,[['UNSAT']]
15,rose,1var,3deg,0.0019271373748779297,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.0029489994049072266,[['UNKNOWN (TIMEOUT)']]
17,unusual,2var,2deg,0.0008943080902099609,[['UNSAT']]
18,faint,2var,2deg,0.002933025360107422,[['UNKNOWN (TIMEOUT)']]
19,machine,2var,2deg,0.0016064643859863281,"[['x', 13], ['y', 7]]"
20,small,2var,2deg,0.0022873878479003906,[['UNKNOWN (TIMEOUT)']]
21,waste,2var,3deg,0.0007469654083251953,[['UNSAT']]
22,touch,2var,3deg,0.002040863037109375,[['UNKNOWN (TIMEOUT)']]
23,moon,2var,3deg,0.0006732940673828125,[['UNSAT']]
24,inertia,2var,3deg,0.0018277168273925781,[['UNKNOWN (TIMEOUT)']]
25,email,2var,3deg,0.0009796619415283203,"[['x', 0], ['y', 0]]"
26,oblong,2var,3deg,0.0008859634399414062,"[['x', 0], ['y', 0]]"
27,forget,2var,3deg,0.0020008087158203125,[['UNKNOWN (TIMEOUT)']]
28,train,3var,2deg,0.0016121864318847656,[['UNKNOWN (TIMEOUT)']]
29,beast,3var,2deg,0.0009682178497314453,"[['z', 0], ['x', 3], ['y', -6]]"
30,doctor,3var,2deg,0.0010061264038085938,[['UNSAT']]
31,vampire,3var,2deg,0.0009615421295166016,"[['z', -6], ['x', 0], ['y', 0]]"
32,robot,3var,3deg,0.0009822845458984375,"[['z', 0], ['x', 4], ['y', -5]]"
33,professor,3var,3deg,0.001337289810180664,"[['x', 4], ['z', 7], ['y', 6]]"
34,titanium,3var,3deg,0.002016305923461914,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,0.00176239013671875,[['UNKNOWN (TIMEOUT)']]
36,tank,3var,3deg,0.0008454322814941406,"[['z', 0], ['x', -7], ['y', 9]]"
37,western,3var,3deg,0.00176239013671875,[['UNKNOWN (TIMEOUT)']]
38,motor,3var,3deg,0.0016512870788574219,[['UNSAT']]
Totals: 38,n/a,0.08543276786804199s,"10 SAT, 6 UNSAT, 22 UNKNOWN"
